,CIRCUITO,NOMBRE CIRCUITO,PARTIDO,CANTIDAD DE VOTOS,CANTIDAD DE VOTOS POR CIRCUITO,PORCENTAJE DE VOTOS DEL CIRCUITO,CIRCUITO_NUEVO
85,7A,GUIÑAZU,HACEMOS POR CORDOBA,2884,4395,0.6562002275,007A
86,7A,GUIÑAZU,CORDOBA CAMBIA,622,4395,0.1415244596,007A
87,7B,ALTA CORDOBA,UNIÓN CÍVICA RADICAL,1527,15215,0.1003614854,007B
88,7B,ALTA CORDOBA,HACEMOS POR CORDOBA,6979,15215,0.4586920802,007B
89,7B,ALTA CORDOBA,CORDOBA CAMBIA,3760,15215,0.2471245481,007B
90,7C,CNO. A PAJAS BLANCAS,UNIÓN CÍVICA RADICAL,0,11,0.0,007C
91,7C,CNO. A PAJAS BLANCAS,HACEMOS POR CORDOBA,5,11,0.4545454545,007C
92,7C,CNO. A PAJAS BLANCAS,CORDOBA CAMBIA,5,11,0.4545454545,007C
93,7D,COFICO,UNIÓN CÍVICA RADICAL,575,6375,0.09019607843,007D
94,7D,COFICO,HACEMOS POR CORDOBA,2456,6375,0.385254902,007D
95,7D,COFICO,CORDOBA CAMBIA,1929,6375,0.3025882353,007D
96,7E,MARQUES DE SOBREMONTE,UNIÓN CÍVICA RADICAL,1148,11423,0.1004989933,007E
97,7E,MARQUES DE SOBREMONTE,HACEMOS POR CORDOBA,5683,11423,0.4975050337,007E
98,7E,MARQUES DE SOBREMONTE,CORDOBA CAMBIA,2633,11423,0.2304998687,007E
99,7F,JORGE NEWBERY,UNIÓN CÍVICA RADICAL,518,5587,0.09271523179,007F
100,7F,JORGE NEWBERY,HACEMOS POR CORDOBA,3171,5587,0.5675675676,007F
101,7F,JORGE NEWBERY,CORDOBA CAMBIA,1076,5587,0.1925899409,007F
102,7G,PANAMERICANO,UNIÓN CÍVICA RADICAL,870,8505,0.102292769,007G
103,7G,PANAMERICANO,HACEMOS POR CORDOBA,4713,8505,0.5541446208,007G
104,7G,PANAMERICANO,CORDOBA CAMBIA,1594,8505,0.1874191652,007G
105,8,LA FLORESTA NORTE,UNIÓN CÍVICA RADICAL,34,439,0.07744874715,0008
106,8,LA FLORESTA NORTE,HACEMOS POR CORDOBA,291,439,0.6628701595,0008
107,8,LA FLORESTA NORTE,CORDOBA CAMBIA,54,439,0.1230068337,0008
108,8A,PALMAR,UNIÓN CÍVICA RADICAL,265,2753,0.09625862695,008A
109,8A,PALMAR,HACEMOS POR CORDOBA,1701,2753,0.617871413,008A
110,8A,PALMAR,CORDOBA CAMBIA,411,2753,0.1492916818,008A
