"","...1","titulo","eleccion","circuito","candidato","N°","agrupacion","votos","vot valido","vot nulo","total votantes","electores en padron","codigo_circuito","codigo_circuito1"
"54",233,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 53B   - EL ABRA","Gobernador y Vicegobernador","A830","FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","0","6","0","8","43","  53B","  53B"
"55",234,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 53B   - EL ABRA","Gobernador y Vicegobernador","P238","MOVIMIENTO AVANZADA SOCIALISTA","0","6","0","8","43","  53B","  53B"
"56",235,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 53B   - EL ABRA","Gobernador y Vicegobernador","A601","HACEMOS POR CORDOBA","1","6","0","8","43","  53B","  53B"
"57",236,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 53B   - EL ABRA","Gobernador y Vicegobernador","P57","MOVIMIENTO DE ACCI<U+FFFD>N VECINAL","0","6","0","8","43","  53B","  53B"
"58",237,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 53B   - EL ABRA","Gobernador y Vicegobernador","P191","VECINALISMO INDEPENDIENTE","0","6","0","8","43","  53B","  53B"
"59",238,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 53B   - EL ABRA","Gobernador y Vicegobernador","P200","PARTIDO UNION CIUDADANA","0","6","0","8","43","  53B","  53B"
"60",239,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 53B   - EL ABRA","Gobernador y Vicegobernador","A300","MST - NUEVA IZQUIERDA","0","6","0","8","43","  53B","  53B"
"61",253,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 5D    - MALDONADO","Gobernador y Vicegobernador","P22","PARTIDO HUMANISTA","123","7.207","246","7.932","11.198","   5D","   5D"
"62",254,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 5D    - MALDONADO","Gobernador y Vicegobernador","A500","CORDOBA CAMBIA","770","7.207","246","7.932","11.198","   5D","   5D"
"63",255,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 5D    - MALDONADO","Gobernador y Vicegobernador","P217","ENCUENTRO VECINAL C<U+FFFD>RDOBA","303","7.207","246","7.932","11.198","   5D","   5D"
"64",256,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 5D    - MALDONADO","Gobernador y Vicegobernador","20","UNI<U+FFFD>N DEL CENTRO DEMOCR<U+FFFD>TICO (U.CE.DE.)","27","7.207","246","7.932","11.198","   5D","   5D"
"65",257,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 5D    - MALDONADO","Gobernador y Vicegobernador","3","UNI<U+FFFD>N C<U+FFFD>VICA RADICAL","688","7.207","246","7.932","11.198","   5D","   5D"
